章,節,翻訳,確認
まえがき,,済,
始めよう,,済,
変数,,済,
整数と浮動小数点数,,済,
算術演算と初等関数,,済,
複素数と有理数,,済,
文字列,文字,済,9/27
,文字列の基本,済,9/27
,ユニコードとUTF8,済,9/27
,連結,済,9/27
,文字列展開,済,9/27
,三連クオート文字列リテラル,済,
,よくある処理,済,
,非標準文字列リテラル,済,
,正規表現,済,
,バイト列リテラル,済,
,バージョン番号リテラル,済,
,生文字列リテラル,済,
関数,,済,
制御フロー,,済,
変数のスコープ,,済,
型,,,
Methods,,,
Constructors,,,
Conversion and Promotion,,,
Interfaces,,,
Modules,,,
Documentation,,,
Metaprogramming,,,
Multi-dimensional Arrays,,,
Missing Values,,,
Networking and Streams,,,
並列コンピューティング,,,
Dates,,,
Running External Programs,,,
Calling C and Fortran Code,,,
Handling Operating System Variation,,,
Environment Variables,,,
Embedding Julia,,,
Profiling,,,
Memory allocation analysis,,,
Stack Traces,,,
Performance Tips,,,
Workflow Tips,,,
Style Guide,,,
Frequently Asked Questions,,,
Noteworthy Differences from other Languages,,,
Unicode Input,,,
